PAIS: USA, SECCION: cases

Fecha: 1/22/20, Casos: 1
Fecha: 1/23/20, Casos: 1
Fecha: 1/24/20, Casos: 2
Fecha: 1/25/20, Casos: 2
Fecha: 1/26/20, Casos: 5
Fecha: 1/27/20, Casos: 5
Fecha: 1/28/20, Casos: 5
Fecha: 1/29/20, Casos: 6
Fecha: 1/30/20, Casos: 6
Fecha: 1/31/20, Casos: 8
Fecha: 2/1/20, Casos: 8
Fecha: 2/2/20, Casos: 8
Fecha: 2/3/20, Casos: 11
Fecha: 2/4/20, Casos: 11
Fecha: 2/5/20, Casos: 11
Fecha: 2/6/20, Casos: 12
Fecha: 2/7/20, Casos: 12
Fecha: 2/8/20, Casos: 12
Fecha: 2/9/20, Casos: 12
Fecha: 2/10/20, Casos: 12
Fecha: 2/11/20, Casos: 13
Fecha: 2/12/20, Casos: 13
Fecha: 2/13/20, Casos: 14
Fecha: 2/14/20, Casos: 14
Fecha: 2/15/20, Casos: 14
Fecha: 2/16/20, Casos: 14
Fecha: 2/17/20, Casos: 14
Fecha: 2/18/20, Casos: 14
Fecha: 2/19/20, Casos: 14
Fecha: 2/20/20, Casos: 14
Fecha: 2/21/20, Casos: 16
Fecha: 2/22/20, Casos: 16
Fecha: 2/23/20, Casos: 16
Fecha: 2/24/20, Casos: 16
Fecha: 2/25/20, Casos: 16
Fecha: 2/26/20, Casos: 16
Fecha: 2/27/20, Casos: 17
Fecha: 2/28/20, Casos: 17
Fecha: 2/29/20, Casos: 25
Fecha: 3/1/20, Casos: 32
Fecha: 3/2/20, Casos: 55
Fecha: 3/3/20, Casos: 74
Fecha: 3/4/20, Casos: 107
Fecha: 3/5/20, Casos: 184
Fecha: 3/6/20, Casos: 237
Fecha: 3/7/20, Casos: 403
Fecha: 3/8/20, Casos: 519
Fecha: 3/9/20, Casos: 594
Fecha: 3/10/20, Casos: 782
Fecha: 3/11/20, Casos: 1147
Fecha: 3/12/20, Casos: 1586
Fecha: 3/13/20, Casos: 2219
Fecha: 3/14/20, Casos: 2978
Fecha: 3/15/20, Casos: 3212
Fecha: 3/16/20, Casos: 4679
Fecha: 3/17/20, Casos: 6512
Fecha: 3/18/20, Casos: 9169
Fecha: 3/19/20, Casos: 13663
Fecha: 3/20/20, Casos: 20030
Fecha: 3/21/20, Casos: 26025
Fecha: 3/22/20, Casos: 34944
Fecha: 3/23/20, Casos: 46096
Fecha: 3/24/20, Casos: 56714
Fecha: 3/25/20, Casos: 68841
Fecha: 3/26/20, Casos: 86662
Fecha: 3/27/20, Casos: 105253
Fecha: 3/28/20, Casos: 127417
Fecha: 3/29/20, Casos: 143544
Fecha: 3/30/20, Casos: 165698
Fecha: 3/31/20, Casos: 192079
Fecha: 4/1/20, Casos: 227903
Fecha: 4/2/20, Casos: 260183
Fecha: 4/3/20, Casos: 292630
Fecha: 4/4/20, Casos: 324340
Fecha: 4/5/20, Casos: 353117
Fecha: 4/6/20, Casos: 385110
Fecha: 4/7/20, Casos: 415256
Fecha: 4/8/20, Casos: 446500
Fecha: 4/9/20, Casos: 482526
Fecha: 4/10/20, Casos: 516707
Fecha: 4/11/20, Casos: 545693
Fecha: 4/12/20, Casos: 571551
Fecha: 4/13/20, Casos: 598794
Fecha: 4/14/20, Casos: 627306
Fecha: 4/15/20, Casos: 653669
Fecha: 4/16/20, Casos: 683351
Fecha: 4/17/20, Casos: 716508
Fecha: 4/18/20, Casos: 743857
Fecha: 4/19/20, Casos: 768888
Fecha: 4/20/20, Casos: 799531
Fecha: 4/21/20, Casos: 825478
Fecha: 4/22/20, Casos: 855445
Fecha: 4/23/20, Casos: 887523
Fecha: 4/24/20, Casos: 919014
Fecha: 4/25/20, Casos: 949640
Fecha: 4/26/20, Casos: 975537
Fecha: 4/27/20, Casos: 1000230
Fecha: 4/28/20, Casos: 1024834
Fecha: 4/29/20, Casos: 1051643
Fecha: 4/30/20, Casos: 1081150
Fecha: 5/1/20, Casos: 1115972
Fecha: 5/2/20, Casos: 1142619
Fecha: 5/3/20, Casos: 1166189
Fecha: 5/4/20, Casos: 1190240
Fecha: 5/5/20, Casos: 1214321
Fecha: 5/6/20, Casos: 1238694
Fecha: 5/7/20, Casos: 1266904
Fecha: 5/8/20, Casos: 1294111
Fecha: 5/9/20, Casos: 1318358
Fecha: 5/10/20, Casos: 1337061
Fecha: 5/11/20, Casos: 1356283
Fecha: 5/12/20, Casos: 1379661
Fecha: 5/13/20, Casos: 1399662
Fecha: 5/14/20, Casos: 1425539
Fecha: 5/15/20, Casos: 1449938
Fecha: 5/16/20, Casos: 1473806
Fecha: 5/17/20, Casos: 1492449
Fecha: 5/18/20, Casos: 1514833
Fecha: 5/19/20, Casos: 1535591
Fecha: 5/20/20, Casos: 1558430
Fecha: 5/21/20, Casos: 1583542
Fecha: 5/22/20, Casos: 1607464
Fecha: 5/23/20, Casos: 1627392
Fecha: 5/24/20, Casos: 1647513
Fecha: 5/25/20, Casos: 1666699
Fecha: 5/26/20, Casos: 1685395
Fecha: 5/27/20, Casos: 1704200
Fecha: 5/28/20, Casos: 1725329
Fecha: 5/29/20, Casos: 1750066
Fecha: 5/30/20, Casos: 1772783
Fecha: 5/31/20, Casos: 1791547
Fecha: 6/1/20, Casos: 1809384
Fecha: 6/2/20, Casos: 1829340
Fecha: 6/3/20, Casos: 1848388
Fecha: 6/4/20, Casos: 1876099
Fecha: 6/5/20, Casos: 1902280
Fecha: 6/6/20, Casos: 1922433
Fecha: 6/7/20, Casos: 1940242
Fecha: 6/8/20, Casos: 1957154
Fecha: 6/9/20, Casos: 1977478
Fecha: 6/10/20, Casos: 1999224
Fecha: 6/11/20, Casos: 2021527
Fecha: 6/12/20, Casos: 2047082
Fecha: 6/13/20, Casos: 2071218
Fecha: 6/14/20, Casos: 2090171
Fecha: 6/15/20, Casos: 2111266
Fecha: 6/16/20, Casos: 2135894
Fecha: 6/17/20, Casos: 2162973
Fecha: 6/18/20, Casos: 2191211
Fecha: 6/19/20, Casos: 2222207
Fecha: 6/20/20, Casos: 2254073
Fecha: 6/21/20, Casos: 2279932
Fecha: 6/22/20, Casos: 2309921
Fecha: 6/23/20, Casos: 2348750
Fecha: 6/24/20, Casos: 2385029
Fecha: 6/25/20, Casos: 2424386
Fecha: 6/26/20, Casos: 2473472
Fecha: 6/27/20, Casos: 2514305
Fecha: 6/28/20, Casos: 2557223
Fecha: 6/29/20, Casos: 2598741
Fecha: 6/30/20, Casos: 2648797
Fecha: 7/1/20, Casos: 2698127
Fecha: 7/2/20, Casos: 2753211
Fecha: 7/3/20, Casos: 2804869
Fecha: 7/4/20, Casos: 2850893
Fecha: 7/5/20, Casos: 2904843
Fecha: 7/6/20, Casos: 2948475
Fecha: 7/7/20, Casos: 3005888
Fecha: 7/8/20, Casos: 3066392
Fecha: 7/9/20, Casos: 3126224
Fecha: 7/10/20, Casos: 3194746
Fecha: 7/11/20, Casos: 3255187
Fecha: 7/12/20, Casos: 3315407
Fecha: 7/13/20, Casos: 3375032
Fecha: 7/14/20, Casos: 3440789
Fecha: 7/15/20, Casos: 3507088
Fecha: 7/16/20, Casos: 3577862
Fecha: 7/17/20, Casos: 3644284
Fecha: 7/18/20, Casos: 3708609
Fecha: 7/19/20, Casos: 3767602
Fecha: 7/20/20, Casos: 3828458
Fecha: 7/21/20, Casos: 3896753
Fecha: 7/22/20, Casos: 3964203
Fecha: 7/23/20, Casos: 4031970
Fecha: 7/24/20, Casos: 4106919
Fecha: 7/25/20, Casos: 4170674
Fecha: 7/26/20, Casos: 4226305
Fecha: 7/27/20, Casos: 4286302
Fecha: 7/28/20, Casos: 4350866
Fecha: 7/29/20, Casos: 4414918
Fecha: 7/30/20, Casos: 4484122
Fecha: 7/31/20, Casos: 4548497
Fecha: 8/1/20, Casos: 4605921
